name,scimark.fft.large,scimark.lu.large,scimark.monte_carlo,scimark.sor.large,scimark.sparse.large,sunflow
HULL75,24.408591733642268,5.4430558780528706,39.022837068215395,16.91412460568047,13.768750887879921,54.056055541527257
HULL77,29.269292904871019,5.6462308577369029,39.128343293255121,26.74861331780869,17.953385607473525,53.422710046619613
HULL79,28.580923415198477,5.6018227889816377,39.053405767131338,25.623680252965656,14.365876033283888,29.88693781927784
HULL81,25.073845231030571,5.1177333946573826,36.386091870055054,26.045270599561533,16.908578364452175,47.705564456423808
HULL82,29.132871655683182,5.7711557247454834,39.449579195358766,27.591636218414415,18.670490131754491,52.747202007408042
HULL83,26.249812312589988,5.5250804103244295,39.394011614028344,26.264038970153287,18.506681783522659,53.07869573926429
HULL84,28.439847904697189,5.6937901241652344,36.439160959942733,25.731926971877478,18.344396145211324,50.991207659786937
HULL85,28.961313713789085,5.7560317324901078,38.836468046403041,27.582128120763947,18.624768552197995,35.155919636421174
HULL87,28.483437147533213,4.2949724096006783,37.612169748576292,25.176107178712424,14.33272042864656,52.789753504298965
HULL89,29.085913033271275,5.1519344612011686,38.301735042679695,25.70371522792146,18.152098146844107,50.045770844294182
HULL96,24.882899193427981,5.2582716117568253,33.557021424957838,25.317869449568846,17.368206116773308,53.567159638095347
